33.03	25.21
12.52	10.04
11.41	6.84
29.18	13.82
9.94	5.31
15.8	6.31
2.81	2.04
5.36	3.13
15.01	6.59
17.11	10.13
33.47	23.62
8.41	5.65
18.63	11.26
15.48	11.88
3.58	4.38
12.25	5.75
7.89	4.31
10.35	5.94
19.76	10.48
5.22	3.59
47.32	8.97
2.41	1.72
22.66	11.42
10	5.14
27.3	8.31
12.29	8.39
8.69	5
3.84	2.33
8.27	4.03
8.26	5.14
8.29	5.44
4.1	3.01
46.85	31.75
14.52	5.4
28.02	22.41
26.47	16.33
2.74	2.33
4.36	3.02
20.63	15.71
8.29	5.04
36.41	13.49
17.44	13.63
28.39	13.75
25.3	19.72
42.7	19.16
7.94	3.87
6.45	3.18
11.01	8.47
18.78	17.19
10.92	5.86
46.85	28.01
10.08	5.48
10.31	7.34
2.37	2.18
39.2	20.76
15.85	7.83
19.26	11.17
15.89	12.63
5.96	4.76
10.3	5.46
15.78	8.34
6.98	4.35
37.09	22.67
5.73	2.92
35.63	26.36
3.11	1.82
2.78	2.39
28.11	20.4
34.1	22.97
7.21	4.93
15.31	8.77
45.47	24.59
6.67	4.85
25.1	13.25
13.07	8.08
6.56	4.48
45.92	32.15
24.41	8.55
11.57	7.17
9.68	5.5
24.94	15.96
2.96	1.49
48.87	25.24
7.9	5.98
21.82	13.72
41	22.69
8.6	3.88
18.1	18.19
33.48	14.29
53.12	17.39
9.22	4.37
27.77	16.75
25.26	16.96
49.82	43.81
35.54	12.4
15.78	11.83
55.78	18.38
2.07	1.37
8.27	7.56
25.79	12.99
