78.23	73.15	97.11
96.08	75.8	75.52
52.58	14.32	31.13
30.44	13.72	72.56
73.71	18.39	53.36
12.28	28.14	48.94
35.64	13.86	5.27
28.46	45.13	12.23
6.24	46.19	10.26
65.28	156.67	66.12
61.21	65.33	8.24
29.25	46.13	13.29
58.58	19.03	23.92
48.81	10.08	15.66
53.97	44.2	25.63
29.19	67.76	18.81
57.5	22.57	15.02
72.32	63.06	3.39
14.29	49.81	41.8
23.57	35.68	16.52
57.39	67.8	14.08
13.56	8.32	8.36
18.07	13.69	30.94
28.73	8.28	48.42
89.99	65.59	3.47
42.91	22.12	23.77
33.06	61.15	48.3
42.57	27	21.38
12.31	28.24	18.12
13.42	68.37	26.2
53.52	21.21	75.59
7.06	81.09	23.65
53.35	33.58	25.05
23.45	25.05	33.61
65.11	24.83	32.13
62.56	52.33	36.09
39.54	57.58	34.63
9.58	23.97	15.38
28.93	24.07	15.1
23.16	18.21	28.45
54.77	8.21	13.94
28.27	34.43	17.31
32.62	25.85	128.51
91.25	60.69	32.49
20.1	45.56	41.62
55.56	27.76	60.02
3.08	19.71	154.66
29.86	21.22	44.73
11.38	49.05	33.03
40.7	54.2	50.51
82.1	4.26	66.42
12.04	20.55	68.23
5.72	32.2	22.84
65.55	30.84	77.33
10.76	50.09	16.7
9.71	76.71	16.86
12.95	24.89	19.08
21.4	8.2	29.96
25.66	28.44	47.91
7.32	54.77	41.47
17.86	17.79	52.1
31.43	20.49	16.97
24.2	43.22	24.02
105.78	32.92	17.11
23.48	14.96	86.06
46.22	18.84	61.17
22.51	56.51	13.11
87.8	8.05	7.82
6.86	14.32	88.99
53.82	12.98	45.86
8.32	46.08	44.35
13.43	12.61	5.25
105.91	103.98	50.19
69.64	20.27	29.36
72.83	9.59	11.48
11.46	43.31	64.35
19.48	25.29	7.28
52.91	22.26	35.95
15.36	19.34	12.51
55.03	20.91	63.27
52.8	113.37	56.26
89.6	71.5	47.71
45.24	56.99	61.54
39.92	87.61	3.56
29.78	35.43	57.84
30.22	87.12	5.44
7.34	22.15	41.21
6.64	2.93	7.12
15.92	13.03	38.91
75.3	36.24	14.22
20.12	31.26	18.74
40.95	14.61	7.42
51.15	91.17	17.35
16.89	32.91	74.24
30.53	53.28	8.07
52.03	58.92	9.95
21.37	96.45	51.79
8.6	24.12	24.12
25.72	28.39	24.94
43.39	37.58	28.15
