6.97	5.18
5.56	3.64
11.03	6.27
29.08	23.57
36.54	27.89
16.9	13.34
14.25	11.58
6.56	4.79
17.3	9.33
33.92	27
19.67	9.42
11.52	7.54
17.34	13.48
5.42	3.83
6.38	2.98
19.42	16.01
18.36	13.06
9.92	6.55
27.99	13.36
16.52	8.42
49.41	31.7
39.54	19.95
15.05	15.04
9.96	6.44
27.18	9.58
17.02	9.77
11.1	6.19
13.27	6.95
28.53	16.7
17.37	6.05
24.38	12.38
11.43	7.3
29.5	17.15
22.01	7.21
5.64	3.9
11.17	6.89
39.53	16.21
10.32	8.05
4.83	3.56
26.68	13.35
13.04	7.47
12.54	8
17.41	13.04
10.9	4.52
19.26	12.48
72.66	41.96
31.29	20.84
43.07	23.31
52.41	13.95
46.48	44.86
32.95	15.5
21.03	14.27
29.11	19.35
4.71	4.5
11.22	8.27
27.28	16.19
25.68	12.84
13.73	8.35
24.82	16.04
27.48	13.08
6.39	3.4
20.48	13.12
20.59	20.13
70.69	24.57
8.31	7.2
34.34	13.27
18.07	9.35
29.53	22.76
6.62	2.88
47.75	27.89
13.93	7.3
20.13	12.69
44.87	24.53
4.12	3.49
23.33	9.44
21.2	5.51
28.11	18.46
10.76	7.47
31.49	18.91
8.37	6.66
19.77	11.48
16.66	15.93
25.07	17.05
21.56	11.75
20.18	9.83
20.84	18.7
28.22	12.81
39.28	21.09
23.68	9.73
26.2	16.45
7.52	4.71
15.2	7.63
13.63	9.49
15.65	9.41
7.93	4.51
23.85	14.8
33.6	18.5
9.66	8.12
44.65	25.86
48.94	24.99
