95.24	31.01
77.05	34.08
19.37	10.68
52	29.55
19.7	8.91
8.39	6.3
12.08	5.79
22.71	7.66
41.79	12.47
8.14	6.64
20.31	14.27
13.1	7.78
5.51	4.18
50.15	32.96
5.1	3.91
18.45	12.28
21.81	13.19
24.46	9.42
16.19	12.73
33.8	17.13
23.27	14.69
10.77	8.22
125.54	86.03
28.07	19.16
10.77	6.06
20.33	11.98
19.13	9.51
32.51	19.42
51.13	22.33
33.06	17.58
21.24	21.32
15.42	7.21
27.97	14.93
12.45	5.81
66.7	45.2
15.86	10.7
8.49	6.98
7.52	6.33
52.25	40.05
46.39	24.42
30	18.94
28.51	19.98
76.31	41.89
22.48	13.89
16.7	14.5
152.05	120.99
60.1	37.42
37.14	31.26
39.45	22.94
16.84	11.58
21.59	12.47
57.32	43.69
62.94	34.77
25.7	15.17
21.73	18.12
23.72	11.85
52.86	38.34
28.28	20.56
47.67	40.5
72.23	36.28
40.56	21.15
15.38	10.2
12.32	8.29
14.68	9.45
12.79	6.49
47.25	20.49
15.73	11.92
26.6	20.11
11.47	8.3
51.38	31.88
58.63	27.06
51.54	33.71
21.83	13.06
16.04	10.3
16.27	13.66
26.15	20.06
32.28	32.01
5.85	5.91
28.23	16.15
44.19	39.86
14.24	9.34
33.93	31.13
29.43	15.25
30.27	25.34
28.18	22.82
10.67	6.62
25.19	21.58
64.92	35.34
70.97	55.03
32.4	20.85
78.68	52.06
11.67	8.99
38.46	26.86
20.21	11.21
25.29	16.52
12.4	6.32
18.8	12.45
17.67	13.47
24.08	21.01
12.97	7.4
