25.88	20.52
22.92	10.85
10.31	8.26
35.36	27.91
27.12	20.04
5.01	2.11
5.62	3.23
8.73	7.31
33.05	11.25
43.56	23.31
24.8	20.21
18.93	7.77
2.51	2
7.56	4.66
23.74	15.06
34	28.64
6.22	4.56
34.34	30.21
75.41	45.36
53.7	27.03
6.68	4.06
11.54	6.8
22.73	7.51
17.63	10.63
20.07	12.18
31.94	19.57
1.62	1.51
10.77	5.49
14.84	10.12
36.98	21.96
19.25	8.27
8.62	7.45
12	10.07
26.09	24.13
38.62	29.11
28.31	20.64
30.47	8.93
47.79	28.29
24.08	8.79
14.26	10.97
13.62	9.94
51.19	37.85
6.26	5.07
1.57	1.15
32.01	12.54
7.4	3.7
24.85	12.19
3.02	1.98
24.63	14.73
37.28	16.78
11.77	9.38
13.1	8.51
7.68	6.69
4.34	2.7
16.09	9.85
20.81	13.22
28.25	19.1
6.47	5.47
4.52	1.88
42.36	28.59
42.57	36.98
13.19	7.95
11.3	7.89
51.09	33.77
9.99	3.22
13.18	9.98
33.89	24.02
6.19	3.79
39.54	21.96
61.16	28.54
17.84	13.22
27.07	18.96
26.92	11.69
14.24	8.67
13.49	11.91
38.79	37.66
34.67	29.11
50.21	32.42
3.02	1.75
6.31	3.16
31.55	23.91
10.12	4.94
14.67	13.17
12.93	8.33
5.04	2.5
5.26	4.36
18.07	8.92
4.77	3.38
11.92	7.06
31.38	15.21
6.26	2.92
16.79	4.6
39.26	19.95
65.31	36.82
10.48	6.2
6.26	2.56
14.03	5.81
16.24	10.24
20.07	15.3
9.36	5.66
