77.13	161.12	59.09
48.71	26.61	13.08
38.51	17.13	28.12
55.02	69.2	21.99
20.32	23.93	21.01
10.15	49.64	10.36
20.07	79.08	14.62
33.43	11.69	74.91
9.2	18.03	68.57
111.1	61.49	25.92
30.9	15.41	10.79
74.94	15.55	27.8
58.56	14.31	11.32
40.98	19.54	40.39
31.51	14.29	42.21
17.78	16.24	62.16
18.93	18.11	10.73
16.77	47.7	18.15
29.43	52.17	69.53
15.54	26.32	24.21
18.01	28.8	19.36
21.91	71.27	36.42
44.45	109.21	59.89
6.35	59.89	25.86
28.24	20.89	35.05
54.43	18.59	27.86
22.31	7	44.11
13.68	53.5	6.55
26.2	72.66	21.39
78.38	12.82	18.76
26.8	25.36	35.92
17.71	22.97	24.13
27.34	39.13	42.72
22.64	82.74	8.05
18.02	14.03	44.08
8.52	68.72	23.5
27.23	22.14	12.7
152.42	84.81	45.57
48.09	23.26	14.05
37.32	12.63	21.17
9.45	43.01	52.97
9.56	17.68	17.88
16.39	25.32	18.44
16.63	6.42	16.77
59.28	20.45	17.07
41.76	27.33	30.16
23.07	26.99	67.79
15.13	13.31	39.04
18.71	27.41	80.44
23.82	45.88	25.02
22.52	30.74	55.46
39.92	31.85	27.87
16.77	38.09	2.69
23.32	53.46	25.33
29	15.29	24.74
53.96	60.48	53.27
12.13	33.98	10.48
100.5	54.74	21.71
23.45	74.96	29.02
30.01	55.15	91.05
36.66	21.06	50
31.8	6.02	4.26
10.75	60.6	23.72
60.87	3.71	11.06
24.5	26.27	77.35
87.04	70.74	16
9.14	27.53	17.65
27.09	92.5	29.22
9.42	12.55	15.59
19.04	14.55	26.64
22.91	22.79	20.76
21.46	19.34	46.16
5.89	24.03	5.89
26.69	7.35	25.3
18.67	62.32	16.15
16.82	43.82	22.58
16.29	14.89	55.5
66.2	25.24	6.71
17.12	66.5	19.77
59.28	70.8	30.99
24.54	29.19	25.71
60.1	36.24	25.78
25.12	18.21	67.57
21.76	37.58	29.65
28.04	28.68	29.1
40.02	44.56	22.1
55.69	33.28	15.35
72.5	9.12	12.29
15.82	36.05	29.53
30.14	12.47	16.14
25.12	60.8	23.12
24.19	32.85	39.7
87.6	11.49	91.01
57.94	111.63	23.57
8.66	53.52	47.54
9.41	17.69	55.12
11.12	16.21	83.04
10.24	47.49	38.91
41.27	23.49	23.39
81.28	22.86	20.8
