5.31	16.1	9.61
6.89	16.31	13.22
19.57	5.21	29.71
5.52	6.06	21.38
9.54	22.59	22.49
25.32	20.59	8.34
2.54	30.36	18.02
15.97	13.19	15.15
3.15	9.69	14.37
24.12	11.89	15.87
24.38	16.57	20.03
15.64	26.36	36.59
14.17	34.9	7.12
19.72	15.38	35.93
19.19	34.52	26.25
3.55	19	18.42
9.99	14.08	12.35
14.89	15.23	6.97
14.07	6.93	3.26
18.37	4.48	9.07
27.11	8.46	24.83
2.72	3.93	26.54
13.07	28.63	4.63
3.8	25.51	25.03
1.65	8.74	9.51
2.38	4.06	2.25
6.83	6.14	7.42
2.79	7.11	7.08
1.6	4.03	14.7
31.22	11.71	19.66
38.73	18.22	11.53
21.98	16.41	4.38
13.11	25.88	7.15
24.43	30.36	9.31
13.15	11.4	2.98
2.16	24.97	10.93
2.4	10.91	24.56
16.61	22.47	13.05
15.8	9.07	27.17
24.32	3.77	2.99
6.91	17.37	14.98
11.13	6.12	23.09
11.24	13.12	14.64
26.08	39.15	6
30.35	5.19	14.73
7.77	14.02	41.38
6.42	20.31	13.79
9.18	11	6.66
16.98	14.58	17.28
13.21	7.06	3.39
18.58	20.21	10.47
6.17	26.27	2.17
3.07	5.26	16.24
24.14	17.15	8.2
2.35	24.27	11.78
9.9	7.15	31.13
1.56	11.72	13.73
16.38	9.69	20.54
6.38	25.11	13.35
12.19	27.89	15.06
1.56	6.66	29.21
33.28	6.36	4.45
11.02	10.57	20.55
21.14	7.93	23.88
6.02	2.74	14.66
5.39	31.31	25.98
39.48	41.17	6.87
13.31	24.15	12.03
7.05	12.23	10.49
17.51	24.47	26.01
3.75	13.82	2.59
2.49	2.38	7.1
9.26	8.43	32.29
23.64	14.83	40.38
10.89	15.21	23.19
25.87	17.37	12.96
12.21	21.2	24.7
28.53	13.16	13.45
14.96	2.43	2.79
25.38	3.26	3.34
3.25	15	8.59
25.53	3.1	15.05
15.17	24.79	14.01
19.13	22.65	17.87
12.8	15.59	25.36
4.72	12.83	3.22
8.59	19.77	15.04
4.9	19.96	2.56
3.52	3.26	27.56
9.53	7.82	25.18
24.84	21.23	14.95
26.5	6.53	14.74
3.6	9.09	19.94
8.92	26.81	21.4
5.64	10.05	4.15
7.52	15.71	7.39
4.94	13.25	21.73
15.54	32.39	6.87
19.47	12.7	27.13
36.17	24.28	4.04
9.66	7.93	7.88
26.62	7.51	1.67
15.61	3.81	36.31
2.69	4.1	6.51
35.18	33.88	12.28
12.33	47.87	4.04
6.64	6.8	15.31
13.67	27.72	49.22
12.62	33.32	11.04
6.03	4.84	8.74
13.8	5.58	26.34
4.17	11.09	8.05
15.84	3.39	27.85
29.59	29.09	14.47
46.6	4.45	6.74
5.11	24.96	13.65
8.91	21.12	13.64
8.92	24.63	3.89
29.46	5.19	28
10.46	6.28	2.6
19.97	40.17	9.54
6.01	17.74	20.1
29.34	3.98	10.81
7.92	37.63	20.64
2.5	4.91	9.66
3.34	17.9	31.05
29.19	23.12	7.37
5.34	12.59	29.43
21.77	6.95	3.55
35.36	33.28	36.96
28.73	3.11	3.61
7.37	47.34	20.73
14.02	16.59	6.67
31.78	5.01	6.56
17.89	9.48	11.12
19.48	1.78	18.96
14.31	5.69	31.78
14.09	8.13	9.8
19.26	47.84	37.62
27.52	11.68	13.15
13.02	16.45	31.96
34.61	18.74	14.66
9.36	7.97	7.08
4.71	34.91	28.4
18.1	3.86	19.63
10.9	14.95	19.52
7.27	2.28	13.82
18.93	19.19	13.47
6.28	6.92	16.35
9.2	9.65	13.06
23.42	22.25	17.74
23.04	23.23	13.66
4.77	34.17	4.22
13.43	4.34	34.43
13.66	14.37	14.59
18.66	29.32	21.2
49.35	12.99	23.76
2.1	21.33	3.96
14.47	17.05	10.24
3.89	13.29	6.4
33.15	13.27	19.53
6.96	18.49	48.59
18.67	30.94	3.87
47.53	12.56	7.28
14.85	6.07	3.99
11.19	28.97	5.68
35.8	31.77	8.63
2.67	18.11	6.77
16	34.45	48.72
9.29	21.7	9.76
23.69	6.58	14.5
4.52	5.31	36.63
15.49	25.05	17.59
7.12	3.43	22.71
3.18	16.35	41.98
8.42	8.47	12.03
34.49	27.83	8.59
4.85	8.79	33.76
34.93	21.25	3.98
8.1	10.32	16.17
16.62	7.67	29.14
5.22	19.31	21.09
2.48	3.88	25.87
21.36	26.8	7.05
23.35	3.69	6.97
6.42	13.67	20.1
5.32	16.35	5.52
41.28	7.5	33.57
17.33	14.21	24.05
4.33	28.16	26.16
25.2	46.46	48.7
35.86	16.52	36.45
5.68	4.32	10.08
46.81	12.91	3.46
37.78	7.14	2.34
9.3	35.32	4.3
3.64	15.6	30.22
30.09	7.56	7.41
6.33	5.79	5.02
24.81	8.95	5.41
